Unnamed: 0,experimento,api,media,mediana,desvio_padrao,media_aparada,taxa_resposta,taxa_acerto
0,1,MapBox,1.5395519526187422,4.566615953790213e-05,10.912321942320457,0.511816668820083,1.0,0.8506
1,1,Google,2.2841510764106605,0.0088431775546211,5.067887683035483,1.5413253227799644,0.9992,0.7272
2,1,TomTom,9.638625729021877,0.0973750641441591,54.2938891998016,2.383578299528737,1.0,0.528
3,1,OpenRouteService,5.443245229855292,6.606720448480924,4.669510276117138,5.259343410603737,0.9992,0.2646
4,geoGoldBHexp2,MapBox,1.8557756328925463,4.790753500909081e-05,9.876149942860414,0.8263080289660035,0.9994,0.8088
5,geoGoldBHexp2,Google,1.4770917986385446,0.0070448197035141,12.54112733198962,0.6414720043230036,0.9996,0.8064
6,geoGoldBHexp2,TomTom,4.772675181100737,0.060837381619729,36.19496265821218,1.4159736910337262,0.9998,0.5634
7,geoGoldBHexp2,OpenRouteService,134.56451668873527,6.726785889206527,352.8710522410439,70.39999335217524,0.9526,0.1562
8,2,MapBox,1.9851127866850895,4.640752462685287e-05,12.479480546194944,0.8807767472144876,1.0,0.8246
9,2,Google,2.7035681430975376,0.0089807091155677,13.27520944122386,1.500182392786422,0.9998,0.733
10,2,TomTom,3.493690007344635,0.0559356742612101,31.27651632904756,1.8949323352297025,0.9994,0.5566
11,2,OpenRouteService,141.56352999127506,7.689302319417949,326.94473980582814,85.76465508556902,0.9906,0.2228
12,2b,MapBox,3.747499086401719,4.934364307315314e-05,26.63320442134059,0.712573321241925,0.9994,0.7982
13,2b,Google,2.488111343107246,0.0078877707377945,24.657556836565263,0.4248488520132891,0.9984,0.7802
14,2b,TomTom,4.977097451034728,0.0871841764077367,34.512517176019486,1.9563441873564384,0.9998,0.5376
15,2b,OpenRouteService,235.7204326092848,120.74592712357985,321.07497657996566,190.47124946485076,0.953,0.0546
16,3,MapBox,1.6604800484740547,4.626420838151348e-05,11.255071112622485,0.5787585672911195,1.0,0.84
17,3,Google,2.191061301537469,0.0088682166919428,4.905102724052143,1.453412823171557,0.9992,0.7338
18,3,TomTom,4.209164796384252,0.0556088439940096,41.65352677121747,1.85768730230204,1.0,0.5582
19,3,OpenRouteService,215.4116908409463,0.4502765816716735,446.1876072944111,148.45927444906488,0.9904,0.4006
20,3b,MapBox,2.268966229575818,4.934364307315314e-05,13.585636706724143,0.8316134990646193,0.9968,0.8056
21,3b,Google,1.449150994258195,0.0074418728643793,15.764552853219117,0.4083264565902887,1.0,0.783
22,3b,TomTom,4.963664377135093,0.082550637276117,34.52921001857356,1.9380638187236132,0.9988,0.5392
23,3b,OpenRouteService,221.03049565625776,0.5459398773803066,442.1332903351957,155.46077571476854,0.9906,0.3908
24,4,MapBox,3.239739952832182,4.585776305971451e-05,33.42164203832241,0.5795436389288092,1.0,0.8466
25,4,Google,2.225609849119846,0.0088943065674533,4.911848188717625,1.5081629463714783,0.999,0.7326
26,4,TomTom,10.0426125112332,0.0602276057240081,57.57551741070597,2.080298271982409,0.9998,0.5532
27,4,OpenRouteService,7.574040407860426,7.5856651756870495,3.281047010791777,7.597740249847813,1.0,0.0146
28,4b,MapBox,2.395280855913672,4.946537023044813e-05,18.04854668910684,0.618145760956306,0.9992,0.7986
29,4b,Google,1.3173796931814343,0.0074418728643793,15.783626299892829,0.400024193443001,0.9992,0.7778
30,4b,TomTom,4.977097451034728,0.0871841764077367,34.512517176019486,1.9563441873564384,0.9998,0.5376
31,4b,OpenRouteService,152.06131118590366,7.894394788874095,379.0530220416449,86.88366900865745,0.9512,0.0672
32,5,MapBox,2.2702200151427063,4.626420838151348e-05,25.6662318750262,0.5976409209410568,0.9992,0.838
33,5,Google,2.2145059470376296,0.0089155317637384,4.911495375149661,1.4833678510961452,0.9992,0.7332
34,5,TomTom,4.21149159486599,0.0555814281395586,41.66592150867512,1.861228126379892,0.9994,0.5578
35,5,OpenRouteService,7.867046657603855,7.587376557247056,15.029206621198158,7.599036781537404,0.9958,0.0148
36,5b,MapBox,22.718121677129403,4.898327530680143e-05,151.02733812825872,0.7223688991049463,0.9976,0.81
37,5b,Google,1.6316195181480844,0.0088431775546211,12.503913145042723,0.8403985691361018,0.9988,0.7292
38,5b,TomTom,4.9650047495589416,0.0830113190869575,34.52229613665524,1.9408979009260088,0.9992,0.5392
39,5b,OpenRouteService,5.828340097808259,6.606720448480924,20.90576323993377,5.322782292295152,0.9998,0.2478
